Group,,Cases
,boro_bronx,747.0
,boro_brook,909.0
,boro_manhattan,1493.0
,boro_queens,616.0
,boro_statenisland,49.0
,boro_unk,2.0
,age_0_17_yr,5.0
,age_18_24_yr,261.0
,age_25_34_yr,1558.0
,age_35_44_yr,1290.0
,age_45_54_yr,513.0
,age_55_64_yr,168.0
,age_65_74_yr,20.0
,age_75_84_yr,1.0
,age_85_plus_yr,0.0
,age_unk,0.0
,gender_men,3578.0
,gender_ncnb,53.0
,gender_tgm,7.0
,gender_tgw,67.0
,gender_women,102.0
,gender_unkn,9.0
,re_asian,136.0
,re_black,1046.0
,re_hispanic,1327.0
,re_white,857.0
,re_oth,64.0
,re_missing,386.0
,sxor_lgbq,2441.0
,sxor_straight,317.0
,sxor_Unkn,1058.0
,total_rpt,3816.0
Updated: January 05 at 3:45 p.m.,,
